dataset,type,size,gamma,throughput
univ1,Heap,10000000,,5159660240
univ1,Heap,10000000,,5058574832
univ1,Heap,10000000,,5091011424
univ1,Heap,10000000,,5157629648
univ1,Heap,10000000,,5141358472
univ1,Heap,10000000,,5173033592
univ1,Heap,10000000,,5156392256
univ1,Heap,10000000,,5123035552
univ1,Heap,10000000,,5123178328
univ1,Heap,10000000,,5217151376
univ1,Heap,1000000,,9683063032
univ1,Heap,1000000,,9682803920
univ1,Heap,1000000,,9698239592
univ1,Heap,1000000,,9717699432
univ1,Heap,1000000,,9732421224
univ1,Heap,1000000,,9699630336
univ1,Heap,1000000,,9689117792
univ1,Heap,1000000,,9686986728
univ1,Heap,1000000,,9705933632
univ1,Heap,1000000,,9724256552
univ1,OVS,1000000,,9737095816
univ1,OVS,1000000,,9725552112
univ1,OVS,1000000,,9699233736
univ1,OVS,1000000,,9693845264
univ1,OVS,1000000,,9680704584
univ1,OVS,1000000,,9684099480
univ1,OVS,1000000,,9733018768
univ1,OVS,1000000,,9708678104
univ1,OVS,1000000,,9706446568
univ1,OVS,1000000,,9688192392
univ1,OVS,10000000,,9737095816
univ1,OVS,10000000,,9725552112
univ1,OVS,10000000,,9699233736
univ1,OVS,10000000,,9693845264
univ1,OVS,10000000,,9680704584
univ1,OVS,10000000,,9684099480
univ1,OVS,10000000,,9733018768
univ1,OVS,10000000,,9708678104
univ1,OVS,10000000,,9706446568
univ1,OVS,10000000,,9688192392
univ1,QMax,10000000,0.05,9141196384
univ1,QMax,10000000,0.05,9149546136
univ1,QMax,10000000,0.05,9060247680
univ1,QMax,10000000,0.05,9086703544
univ1,QMax,10000000,0.05,9005744264
univ1,QMax,10000000,0.05,9095492200
univ1,QMax,10000000,0.05,9048587640
univ1,QMax,10000000,0.05,9082578904
univ1,QMax,10000000,0.05,9060443336
univ1,QMax,10000000,0.05,8992577144
univ1,QMax,1000000,0.05,9708942504
univ1,QMax,1000000,0.05,9699434680
univ1,QMax,1000000,0.05,9691074352
univ1,QMax,1000000,0.05,9690032616
univ1,QMax,1000000,0.05,9685833944
univ1,QMax,1000000,0.05,9740263328
univ1,QMax,1000000,0.05,9705410120
univ1,QMax,1000000,0.05,9688499096
univ1,QMax,1000000,0.05,9691809384
univ1,QMax,1000000,0.05,9697382936
univ1,QMax,10000000,0.1,9289408448
univ1,QMax,10000000,0.1,9370573960
univ1,QMax,10000000,0.1,9315933056
univ1,QMax,10000000,0.1,9310269608
univ1,QMax,10000000,0.1,9352520728
univ1,QMax,10000000,0.1,9327534928
univ1,QMax,10000000,0.1,9337000448
univ1,QMax,10000000,0.1,9301639592
univ1,QMax,10000000,0.1,9296108344
univ1,QMax,10000000,0.1,9355503160
univ1,QMax,1000000,0.1,9740088824
univ1,QMax,1000000,0.1,9723659008
univ1,QMax,1000000,0.1,9697673776
univ1,QMax,1000000,0.1,9694897576
univ1,QMax,1000000,0.1,9683332720
univ1,QMax,1000000,0.1,9717244664
univ1,QMax,1000000,0.1,9726609712
univ1,QMax,1000000,0.1,9696817120
univ1,QMax,1000000,0.1,9697351208
univ1,QMax,1000000,0.1,9702221456
univ1,QMax,10000000,0.25,9429064528
univ1,QMax,10000000,0.25,9532571840
univ1,QMax,10000000,0.25,9529525952
univ1,QMax,10000000,0.25,9457974024
univ1,QMax,10000000,0.25,9503858000
univ1,QMax,10000000,0.25,9477111296
univ1,QMax,10000000,0.25,9498919008
univ1,QMax,10000000,0.25,9541260024
univ1,QMax,10000000,0.25,9568995584
univ1,QMax,10000000,0.25,9472584768
univ1,QMax,1000000,0.25,9710222200
univ1,QMax,1000000,0.25,9724235400
univ1,QMax,1000000,0.25,9723452776
univ1,QMax,1000000,0.25,9703146856
univ1,QMax,1000000,0.25,9690545552
univ1,QMax,1000000,0.25,9673824896
univ1,QMax,1000000,0.25,9727847104
univ1,QMax,1000000,0.25,9724034456
univ1,QMax,1000000,0.25,9716985552
univ1,QMax,1000000,0.25,9725848240
univ1,QMax,10000000,0.5,9563808056
univ1,QMax,10000000,0.5,9515068560
univ1,QMax,10000000,0.5,9531799792
univ1,QMax,10000000,0.5,9552206184
univ1,QMax,10000000,0.5,9522767888
univ1,QMax,10000000,0.5,9528838512
univ1,QMax,10000000,0.5,9512858176
univ1,QMax,10000000,0.5,9509600768
univ1,QMax,10000000,0.5,9443558936
univ1,QMax,10000000,0.5,9513624936
univ1,QMax,1000000,0.5,9681185792
univ1,QMax,1000000,0.5,9700915320
univ1,QMax,1000000,0.5,9734753232
univ1,QMax,1000000,0.5,9722273552
univ1,QMax,1000000,0.5,9703019944
univ1,QMax,1000000,0.5,9684897968
univ1,QMax,1000000,0.5,9694887000
univ1,QMax,1000000,0.5,9726667880
univ1,QMax,1000000,0.5,9735313760
univ1,QMax,1000000,0.5,9738682216
univ1,Skiplist,10000000,,2187973456
univ1,Skiplist,10000000,,2314467704
univ1,Skiplist,10000000,,2260540680
univ1,Skiplist,10000000,,2337174376
univ1,Skiplist,10000000,,2256722744
univ1,Skiplist,10000000,,2261032464
univ1,Skiplist,10000000,,2213276536
univ1,Skiplist,10000000,,2269519704
univ1,Skiplist,10000000,,2266997328
univ1,Skiplist,10000000,,2323875056
univ1,Skiplist,1000000,,6229031328
univ1,Skiplist,1000000,,6222643424
univ1,Skiplist,1000000,,5985577096
univ1,Skiplist,1000000,,6054818168
univ1,Skiplist,1000000,,6514170864
univ1,Skiplist,1000000,,6255117032
univ1,Skiplist,1000000,,6271525696
univ1,Skiplist,1000000,,6267993312
univ1,Skiplist,1000000,,6154639744
univ1,Skiplist,1000000,,6409272808
