dataset,type,size,gamma,throughput
caida16,Heap,10000000,,3963024464
caida16,Heap,10000000,,3958411360
caida16,Heap,10000000,,3877089584
caida16,Heap,10000000,,3892522200
caida16,Heap,10000000,,4065231752
caida16,Heap,10000000,,3916789888
caida16,Heap,10000000,,4065018928
caida16,Heap,10000000,,3985336472
caida16,Heap,10000000,,3965549592
caida16,Heap,10000000,,4003535800
caida16,Heap,1000000,,31278363648
caida16,Heap,1000000,,31287624368
caida16,Heap,1000000,,31179285448
caida16,Heap,1000000,,31281354688
caida16,Heap,1000000,,31255798552
caida16,Heap,1000000,,31166429728
caida16,Heap,1000000,,31123318488
caida16,Heap,1000000,,31448709128
caida16,Heap,1000000,,31294722336
caida16,Heap,1000000,,31473695816
caida16,OVS,1000000,,38126361232
caida16,OVS,1000000,,38111768408
caida16,OVS,1000000,,38136582536
caida16,OVS,1000000,,38105786328
caida16,OVS,1000000,,38128213376
caida16,OVS,1000000,,38114333800
caida16,OVS,1000000,,38136369712
caida16,OVS,1000000,,38126205928
caida16,OVS,1000000,,38113925408
caida16,OVS,1000000,,38136691824
caida16,OVS,10000000,,38126361232
caida16,OVS,10000000,,38111768408
caida16,OVS,10000000,,38136582536
caida16,OVS,10000000,,38105786328
caida16,OVS,10000000,,38128213376
caida16,OVS,10000000,,38114333800
caida16,OVS,10000000,,38136369712
caida16,OVS,10000000,,38126205928
caida16,OVS,10000000,,38113925408
caida16,OVS,10000000,,38136691824
caida16,QMax,10000000,0.05,22036884088
caida16,QMax,10000000,0.05,22114812184
caida16,QMax,10000000,0.05,21988469504
caida16,QMax,10000000,0.05,21779643144
caida16,QMax,10000000,0.05,21486624760
caida16,QMax,10000000,0.05,23367919896
caida16,QMax,10000000,0.05,21273582184
caida16,QMax,10000000,0.05,22096003144
caida16,QMax,10000000,0.05,22329217984
caida16,QMax,10000000,0.05,22133626976
caida16,QMax,1000000,0.05,34418437968
caida16,QMax,1000000,0.05,34390431480
caida16,QMax,1000000,0.05,34367515512
caida16,QMax,1000000,0.05,34593707160
caida16,QMax,1000000,0.05,34516705136
caida16,QMax,1000000,0.05,34527760480
