dataset,type,size,gamma,throughput
univ1,Heap,10000000,,3538569496
univ1,Heap,10000000,,3379118424
univ1,Heap,10000000,,3335777192
univ1,Heap,10000000,,3250855432
univ1,Heap,10000000,,3546991888
univ1,Heap,10000000,,3512454176
univ1,Heap,10000000,,3355649528
univ1,Heap,10000000,,3307074496
univ1,Heap,10000000,,3321444632
univ1,Heap,10000000,,3407509776
univ1,Heap,1000000,,29009498672
univ1,Heap,1000000,,29099654232
univ1,Heap,1000000,,28950380888
univ1,Heap,1000000,,28979878048
univ1,Heap,1000000,,29273394920
univ1,Heap,1000000,,29124953616
univ1,Heap,1000000,,29028045112
univ1,Heap,1000000,,29241385536
univ1,Heap,1000000,,29103202480
univ1,Heap,1000000,,29044014912
univ1,OVS,1000000,,38457355816
univ1,OVS,1000000,,38656508616
univ1,OVS,1000000,,38545680888
univ1,OVS,1000000,,38194549272
univ1,OVS,1000000,,38288108144
univ1,OVS,1000000,,38431992016
univ1,OVS,1000000,,38716710736
univ1,OVS,1000000,,38610343816
univ1,OVS,1000000,,38488109088
univ1,OVS,1000000,,38423124080
univ1,OVS,10000000,,38457355816
univ1,OVS,10000000,,38656508616
univ1,OVS,10000000,,38545680888
univ1,OVS,10000000,,38194549272
univ1,OVS,10000000,,38288108144
univ1,OVS,10000000,,38431992016
univ1,OVS,10000000,,38716710736
univ1,OVS,10000000,,38610343816
univ1,OVS,10000000,,38488109088
univ1,OVS,10000000,,38423124080
univ1,QMax,10000000,0.05,21696312616
univ1,QMax,10000000,0.05,22025285128
univ1,QMax,10000000,0.05,21898584224
univ1,QMax,10000000,0.05,21804246992
univ1,QMax,10000000,0.05,22852365096
univ1,QMax,10000000,0.05,21493155288
univ1,QMax,10000000,0.05,22113792712
univ1,QMax,10000000,0.05,21675355944
univ1,QMax,10000000,0.05,22034743544
univ1,QMax,10000000,0.05,22645879608
univ1,QMax,1000000,0.05,34274116360
univ1,QMax,1000000,0.05,33722956960
univ1,QMax,1000000,0.05,33779363904
univ1,QMax,1000000,0.05,33786154424
univ1,QMax,1000000,0.05,34113409176
univ1,QMax,1000000,0.05,34312459984
univ1,QMax,1000000,0.05,33795306864
univ1,QMax,1000000,0.05,33812822648
univ1,QMax,1000000,0.05,33849625656
univ1,QMax,1000000,0.05,34180863464
univ1,QMax,10000000,0.1,25286253872
univ1,QMax,10000000,0.1,27907963600
univ1,QMax,10000000,0.1,28427612840
univ1,QMax,10000000,0.1,27255295320
univ1,QMax,10000000,0.1,28894730832
univ1,QMax,10000000,0.1,28347162624
univ1,QMax,10000000,0.1,27274421504
univ1,QMax,10000000,0.1,28545767888
univ1,QMax,10000000,0.1,28042024032
univ1,QMax,10000000,0.1,28232765176
univ1,QMax,1000000,0.1,35173369088
univ1,QMax,1000000,0.1,35261232512
univ1,QMax,1000000,0.1,35447180032
univ1,QMax,1000000,0.1,35598842136
univ1,QMax,1000000,0.1,35808999336
univ1,QMax,1000000,0.1,35287766536
univ1,QMax,1000000,0.1,35152487568
univ1,QMax,1000000,0.1,35372339376
univ1,QMax,1000000,0.1,35539128504
univ1,QMax,1000000,0.1,35485915520
univ1,QMax,10000000,0.25,32305541928
univ1,QMax,10000000,0.25,31451342824
univ1,QMax,10000000,0.25,31081224592
univ1,QMax,10000000,0.25,31679998152
univ1,QMax,10000000,0.25,31555004272
univ1,QMax,10000000,0.25,31726705120
univ1,QMax,10000000,0.25,30618755288
univ1,QMax,10000000,0.25,31094682168
univ1,QMax,10000000,0.25,30797160768
univ1,QMax,10000000,0.25,31331115728
univ1,QMax,1000000,0.25,36402270696
univ1,QMax,1000000,0.25,36392914272
univ1,QMax,1000000,0.25,36452901672
univ1,QMax,1000000,0.25,36833476768
univ1,QMax,1000000,0.25,36504906856
univ1,QMax,1000000,0.25,36485431752
univ1,QMax,1000000,0.25,36622492896
univ1,QMax,1000000,0.25,36474996360
univ1,QMax,1000000,0.25,36701091152
univ1,QMax,1000000,0.25,36533792064
univ1,QMax,10000000,0.5,32444095376
univ1,QMax,10000000,0.5,32915405776
univ1,QMax,10000000,0.5,32856663752
univ1,QMax,10000000,0.5,32681344872
univ1,QMax,10000000,0.5,32982527248
univ1,QMax,10000000,0.5,31881684648
univ1,QMax,10000000,0.5,32638030480
univ1,QMax,10000000,0.5,32559668416
univ1,QMax,10000000,0.5,32509171640
univ1,QMax,10000000,0.5,32802001408
univ1,QMax,1000000,0.5,36965593984
univ1,QMax,1000000,0.5,36754615480
univ1,QMax,1000000,0.5,36942500848
univ1,QMax,1000000,0.5,36833337200
univ1,QMax,1000000,0.5,36879985120
univ1,QMax,1000000,0.5,36853649712
univ1,QMax,1000000,0.5,36672281096
univ1,QMax,1000000,0.5,36592442832
univ1,QMax,1000000,0.5,36989857344
univ1,QMax,1000000,0.5,36854535432
univ1,Skiplist,10000000,,1563279696
univ1,Skiplist,10000000,,1594800592
univ1,Skiplist,10000000,,1598177064
univ1,Skiplist,10000000,,1648754360
univ1,Skiplist,10000000,,1647197640
univ1,Skiplist,10000000,,1608097128
univ1,Skiplist,10000000,,1582566920
univ1,Skiplist,10000000,,1595605792
univ1,Skiplist,10000000,,1555823544
univ1,Skiplist,10000000,,1620883704
univ1,Skiplist,1000000,,24492858104
univ1,Skiplist,1000000,,24702204736
univ1,Skiplist,1000000,,23989559792
univ1,Skiplist,1000000,,22836137632
univ1,Skiplist,1000000,,22618996664
univ1,Skiplist,1000000,,24531089000
univ1,Skiplist,1000000,,24071405688
univ1,Skiplist,1000000,,24727938928
univ1,Skiplist,1000000,,25411188704
univ1,Skiplist,1000000,,24362131200
