dataset,type,size,gamma,throughput
caida18,Heap,10000000,,359875440
caida18,Heap,10000000,,361734480
caida18,Heap,10000000,,360277200
caida18,Heap,10000000,,355746240
caida18,Heap,10000000,,356605920
caida18,Heap,10000000,,358158240
caida18,Heap,10000000,,357713280
caida18,Heap,10000000,,355529520
caida18,Heap,10000000,,349199280
caida18,Heap,10000000,,358383600
caida18,Heap,1000000,,4032789840
caida18,Heap,1000000,,4008044880
caida18,Heap,1000000,,4040164080
caida18,Heap,1000000,,4046659920
caida18,Heap,1000000,,4036706640
caida18,Heap,1000000,,4042123200
caida18,Heap,1000000,,3990335760
caida18,Heap,1000000,,4027469040
caida18,Heap,1000000,,4015286640
caida18,Heap,1000000,,3984429600
caida18,OVS,1000000,,9943270560
caida18,OVS,1000000,,9840074400
caida18,OVS,1000000,,9857215440
caida18,OVS,1000000,,9852670800
caida18,OVS,1000000,,9935232480
caida18,OVS,1000000,,9931597200
caida18,OVS,1000000,,9919262880
caida18,OVS,1000000,,9909149760
caida18,OVS,1000000,,9858144960
caida18,OVS,1000000,,9906066720
caida18,OVS,10000000,,9943270560
caida18,OVS,10000000,,9840074400
caida18,OVS,10000000,,9857215440
caida18,OVS,10000000,,9852670800
caida18,OVS,10000000,,9935232480
caida18,OVS,10000000,,9931597200
caida18,OVS,10000000,,9919262880
caida18,OVS,10000000,,9909149760
caida18,OVS,10000000,,9858144960
caida18,OVS,10000000,,9906066720
caida18,QMax,10000000,0.05,2865801600
caida18,QMax,10000000,0.05,2725997040
caida18,QMax,10000000,0.05,2725839360
caida18,QMax,10000000,0.05,2728030320
caida18,QMax,10000000,0.05,2821782240
caida18,QMax,10000000,0.05,2726871120
caida18,QMax,10000000,0.05,2827297440
caida18,QMax,10000000,0.05,2778178320
caida18,QMax,10000000,0.05,2823108480
caida18,QMax,10000000,0.05,2590323120
caida18,QMax,1000000,0.05,5512515840
caida18,QMax,1000000,0.05,5497072560
caida18,QMax,1000000,0.05,5534588880
caida18,QMax,1000000,0.05,5519244960
caida18,QMax,1000000,0.05,5517695520
caida18,QMax,1000000,0.05,5511059280
caida18,QMax,1000000,0.05,5533886880
caida18,QMax,1000000,0.05,5466370320
caida18,QMax,1000000,0.05,5486959440
caida18,QMax,1000000,0.05,5502476160
caida18,QMax,10000000,0.1,3587022000
caida18,QMax,10000000,0.1,3974193360
caida18,QMax,10000000,0.1,3947783040
caida18,QMax,10000000,0.1,3903807600
caida18,QMax,10000000,0.1,3867173280
caida18,QMax,10000000,0.1,3994791840
caida18,QMax,10000000,0.1,3992933520
caida18,QMax,10000000,0.1,3641563440
caida18,QMax,10000000,0.1,3946757760
caida18,QMax,10000000,0.1,3934667520
caida18,QMax,1000000,0.1,5829055200
caida18,QMax,1000000,0.1,5791567680
caida18,QMax,1000000,0.1,5800685760
caida18,QMax,1000000,0.1,5797673280
caida18,QMax,1000000,0.1,5808207600
caida18,QMax,1000000,0.1,5775468480
caida18,QMax,1000000,0.1,5797403280
caida18,QMax,1000000,0.1,5805703440
caida18,QMax,1000000,0.1,5795629200
caida18,QMax,1000000,0.1,5838470640
caida18,QMax,10000000,0.25,4895199360
caida18,QMax,10000000,0.25,4970946240
caida18,QMax,10000000,0.25,4814489520
caida18,QMax,10000000,0.25,4799482560
caida18,QMax,10000000,0.25,4904456400
caida18,QMax,10000000,0.25,4648766400
caida18,QMax,10000000,0.25,4821812640
caida18,QMax,10000000,0.25,4700974320
caida18,QMax,10000000,0.25,4736830320
caida18,QMax,10000000,0.25,4610808720
caida18,QMax,1000000,0.25,6025181760
caida18,QMax,1000000,0.25,5999108400
caida18,QMax,1000000,0.25,5995927440
caida18,QMax,1000000,0.25,6001729200
caida18,QMax,1000000,0.25,5968476720
caida18,QMax,1000000,0.25,5990951520
caida18,QMax,1000000,0.25,5995146960
caida18,QMax,1000000,0.25,6019709760
caida18,QMax,1000000,0.25,6024715200
caida18,QMax,1000000,0.25,5995869120
caida18,QMax,10000000,0.5,5070972960
caida18,QMax,10000000,0.5,5078419920
caida18,QMax,10000000,0.5,5137516800
caida18,QMax,10000000,0.5,5036034960
caida18,QMax,10000000,0.5,5140535040
caida18,QMax,10000000,0.5,5204935440
caida18,QMax,10000000,0.5,4959920880
caida18,QMax,10000000,0.5,5048174160
caida18,QMax,10000000,0.5,5091770880
caida18,QMax,10000000,0.5,5157293760
caida18,QMax,1000000,0.5,6043033440
caida18,QMax,1000000,0.5,6045139440
caida18,QMax,1000000,0.5,6065911440
caida18,QMax,1000000,0.5,6027331680
caida18,QMax,1000000,0.5,6032546640
caida18,QMax,1000000,0.5,6049684080
caida18,QMax,1000000,0.5,6042418560
caida18,QMax,1000000,0.5,6052383360
caida18,QMax,1000000,0.5,6050002320
caida18,QMax,1000000,0.5,6052743360
caida18,Skiplist,10000000,,305959680
caida18,Skiplist,10000000,,302405760
caida18,Skiplist,10000000,,306779040
caida18,Skiplist,10000000,,309076560
caida18,Skiplist,10000000,,302434560
caida18,Skiplist,10000000,,309506400
caida18,Skiplist,10000000,,311739120
caida18,Skiplist,10000000,,303881760
caida18,Skiplist,10000000,,310645440
caida18,Skiplist,10000000,,301928400
caida18,Skiplist,1000000,,3104491680
caida18,Skiplist,1000000,,3066784560
caida18,Skiplist,1000000,,3089093040
caida18,Skiplist,1000000,,3072874320
caida18,Skiplist,1000000,,2980993680
caida18,Skiplist,1000000,,3008310480
caida18,Skiplist,1000000,,3012582960
caida18,Skiplist,1000000,,3024828720
caida18,Skiplist,1000000,,3091089600
caida18,Skiplist,1000000,,3031771680
