dataset,type,size,gamma,throughput
univ1,Heap,10000000,,492837696
univ1,Heap,10000000,,493569648
univ1,Heap,10000000,,494523432
univ1,Heap,10000000,,492820848
univ1,Heap,10000000,,474768216
univ1,Heap,10000000,,473734872
univ1,Heap,10000000,,473370768
univ1,Heap,10000000,,467615304
univ1,Heap,10000000,,468794664
univ1,Heap,10000000,,478282896
univ1,Heap,1000000,,5276854440
univ1,Heap,1000000,,5213088504
univ1,Heap,1000000,,5245326216
univ1,Heap,1000000,,5252385528
univ1,Heap,1000000,,5274158760
univ1,Heap,1000000,,5281229304
univ1,Heap,1000000,,5270202288
univ1,Heap,1000000,,5277296232
univ1,Heap,1000000,,5255197272
univ1,Heap,1000000,,5291721864
univ1,OVS,1000000,,9884262024
univ1,OVS,1000000,,9835857720
univ1,OVS,1000000,,9715174560
univ1,OVS,1000000,,9781536960
univ1,OVS,1000000,,9784735272
univ1,OVS,1000000,,9786962952
univ1,OVS,1000000,,9985956552
univ1,OVS,1000000,,9982096488
univ1,OVS,1000000,,9952043400
univ1,OVS,1000000,,9854032032
univ1,OVS,10000000,,9884262024
univ1,OVS,10000000,,9835857720
univ1,OVS,10000000,,9715174560
univ1,OVS,10000000,,9781536960
univ1,OVS,10000000,,9784735272
univ1,OVS,10000000,,9786962952
univ1,OVS,10000000,,9985956552
univ1,OVS,10000000,,9982096488
univ1,OVS,10000000,,9952043400
univ1,OVS,10000000,,9854032032
univ1,QMax,10000000,0.05,3762271656
univ1,QMax,10000000,0.05,3593973240
univ1,QMax,10000000,0.05,3787680312
univ1,QMax,10000000,0.05,3781308024
univ1,QMax,10000000,0.05,3545104680
univ1,QMax,10000000,0.05,3510479232
univ1,QMax,10000000,0.05,3594606912
univ1,QMax,10000000,0.05,3486771288
univ1,QMax,10000000,0.05,3723088824
univ1,QMax,10000000,0.05,3592289376
univ1,QMax,1000000,0.05,7138142856
univ1,QMax,1000000,0.05,7112794104
univ1,QMax,1000000,0.05,7145726328
univ1,QMax,1000000,0.05,7113240576
univ1,QMax,1000000,0.05,7115851080
univ1,QMax,1000000,0.05,7044123528
univ1,QMax,1000000,0.05,7109123112
univ1,QMax,1000000,0.05,7031180520
univ1,QMax,1000000,0.05,7034825304
univ1,QMax,1000000,0.05,7094280960
univ1,QMax,10000000,0.1,5037427512
univ1,QMax,10000000,0.1,5082264720
univ1,QMax,10000000,0.1,5118074208
univ1,QMax,10000000,0.1,5126399928
univ1,QMax,10000000,0.1,5087839536
univ1,QMax,10000000,0.1,4591104336
univ1,QMax,10000000,0.1,5131551672
univ1,QMax,10000000,0.1,5060550456
univ1,QMax,10000000,0.1,5278921128
univ1,QMax,10000000,0.1,5039284536
univ1,QMax,1000000,0.1,7515225432
univ1,QMax,1000000,0.1,7448256504
univ1,QMax,1000000,0.1,7487457120
univ1,QMax,1000000,0.1,7422034464
univ1,QMax,1000000,0.1,7517142360
univ1,QMax,1000000,0.1,7520014008
univ1,QMax,1000000,0.1,7512008400
univ1,QMax,1000000,0.1,7537518144
univ1,QMax,1000000,0.1,7493785416
univ1,QMax,1000000,0.1,7503591888
univ1,QMax,10000000,0.25,6278165712
univ1,QMax,10000000,0.25,6278312664
univ1,QMax,10000000,0.25,6428303856
univ1,QMax,10000000,0.25,5990015304
univ1,QMax,10000000,0.25,6249938760
univ1,QMax,10000000,0.25,6279466752
univ1,QMax,10000000,0.25,6163010568
univ1,QMax,10000000,0.25,6186339432
univ1,QMax,10000000,0.25,6360944616
univ1,QMax,10000000,0.25,6059941992
univ1,QMax,1000000,0.25,7751809728
univ1,QMax,1000000,0.25,7782312096
univ1,QMax,1000000,0.25,7700787432
univ1,QMax,1000000,0.25,7695977328
univ1,QMax,1000000,0.25,7826060736
univ1,QMax,1000000,0.25,7757755200
univ1,QMax,1000000,0.25,7756933392
univ1,QMax,1000000,0.25,7753506696
univ1,QMax,1000000,0.25,7690725432
univ1,QMax,1000000,0.25,7819495632
univ1,QMax,10000000,0.5,6575830560
univ1,QMax,10000000,0.5,6544926648
univ1,QMax,10000000,0.5,6389360640
univ1,QMax,10000000,0.5,6831830304
univ1,QMax,10000000,0.5,6782655672
univ1,QMax,10000000,0.5,6384095640
univ1,QMax,10000000,0.5,6829417296
univ1,QMax,10000000,0.5,6677533512
univ1,QMax,10000000,0.5,6752859048
univ1,QMax,10000000,0.5,6386116464
univ1,QMax,1000000,0.5,7848463896
univ1,QMax,1000000,0.5,7834577400
univ1,QMax,1000000,0.5,7784685792
univ1,QMax,1000000,0.5,7841456064
univ1,QMax,1000000,0.5,7804576728
univ1,QMax,1000000,0.5,7802455752
univ1,QMax,1000000,0.5,7823525112
univ1,QMax,1000000,0.5,7797254400
univ1,QMax,1000000,0.5,7794364968
univ1,QMax,1000000,0.5,7770622392
univ1,Skiplist,10000000,,718928496
univ1,Skiplist,10000000,,732481776
univ1,Skiplist,10000000,,727016472
univ1,Skiplist,10000000,,727311312
univ1,Skiplist,10000000,,699745176
univ1,Skiplist,10000000,,705920904
univ1,Skiplist,10000000,,714484368
univ1,Skiplist,10000000,,697685040
univ1,Skiplist,10000000,,718887312
univ1,Skiplist,10000000,,700686792
univ1,Skiplist,1000000,,711658584
univ1,Skiplist,1000000,,699152688
univ1,Skiplist,1000000,,698613552
univ1,Skiplist,1000000,,698971104
univ1,Skiplist,1000000,,712548720
univ1,Skiplist,1000000,,706794192
univ1,Skiplist,1000000,,706538664
univ1,Skiplist,1000000,,720171504
univ1,Skiplist,1000000,,700813152
univ1,Skiplist,1000000,,719519112
