dataset,type,size,gamma,throughput
caida18,Heap,10000000,,5826845760
caida18,Heap,10000000,,5834242560
caida18,Heap,10000000,,5830253440
caida18,Heap,10000000,,5816836160
caida18,Heap,10000000,,5694719040
caida18,Heap,10000000,,5847600960
caida18,Heap,10000000,,5835611520
caida18,Heap,10000000,,5796169280
caida18,Heap,10000000,,5833197440
caida18,Heap,10000000,,5776098560
caida18,Heap,1000000,,8248263680
caida18,Heap,1000000,,8252090880
caida18,Heap,1000000,,8251273920
caida18,Heap,1000000,,8249838720
caida18,Heap,1000000,,8247358400
caida18,Heap,1000000,,8242169600
caida18,Heap,1000000,,8245135680
caida18,Heap,1000000,,8247512960
caida18,Heap,1000000,,8246357440
caida18,Heap,1000000,,8245724480
caida18,OVS,1000000,,8243722560
caida18,OVS,1000000,,8248101760
caida18,OVS,1000000,,8246902080
caida18,OVS,1000000,,8245731840
caida18,OVS,1000000,,8245592000
caida18,OVS,1000000,,8249728320
caida18,OVS,1000000,,8244267200
caida18,OVS,1000000,,8243840320
caida18,OVS,1000000,,8249566400
caida18,OVS,1000000,,8246578240
caida18,OVS,10000000,,8243722560
caida18,OVS,10000000,,8248101760
caida18,OVS,10000000,,8246902080
caida18,OVS,10000000,,8245731840
caida18,OVS,10000000,,8245592000
caida18,OVS,10000000,,8249728320
caida18,OVS,10000000,,8244267200
caida18,OVS,10000000,,8243840320
caida18,OVS,10000000,,8249566400
caida18,OVS,10000000,,8246578240
caida18,QMax,10000000,0.05,6943512320
caida18,QMax,10000000,0.05,6900000000
caida18,QMax,10000000,0.05,6941260160
caida18,QMax,10000000,0.05,6958872640
caida18,QMax,10000000,0.05,6791138240
caida18,QMax,10000000,0.05,7010333760
caida18,QMax,10000000,0.05,6935099840
caida18,QMax,10000000,0.05,6912578240
caida18,QMax,10000000,0.05,6942916160
caida18,QMax,10000000,0.05,6978428160
caida18,QMax,1000000,0.05,8128877120
caida18,QMax,1000000,0.05,8124976320
caida18,QMax,1000000,0.05,8112854400
caida18,QMax,1000000,0.05,8123416000
caida18,QMax,1000000,0.05,8113583040
caida18,QMax,1000000,0.05,8132660160
caida18,QMax,1000000,0.05,8135508480
caida18,QMax,1000000,0.05,8131438400
caida18,QMax,1000000,0.05,8122702080
caida18,QMax,1000000,0.05,8128325120
caida18,QMax,10000000,0.1,7399604160
caida18,QMax,10000000,0.1,7456968000
caida18,QMax,10000000,0.1,7467433920
caida18,QMax,10000000,0.1,7327019840
caida18,QMax,10000000,0.1,7392906560
caida18,QMax,10000000,0.1,7337515200
caida18,QMax,10000000,0.1,7373159680
caida18,QMax,10000000,0.1,7442292160
caida18,QMax,10000000,0.1,7378024640
caida18,QMax,10000000,0.1,7395254400
caida18,QMax,1000000,0.1,8155888320
caida18,QMax,1000000,0.1,8166965120
caida18,QMax,1000000,0.1,8154107200
caida18,QMax,1000000,0.1,8170873280
caida18,QMax,1000000,0.1,8171042560
caida18,QMax,1000000,0.1,8162475520
caida18,QMax,1000000,0.1,8174847680
caida18,QMax,1000000,0.1,8167399360
caida18,QMax,1000000,0.1,8159384320
caida18,QMax,1000000,0.1,8167215360
caida18,QMax,10000000,0.25,7770099200
caida18,QMax,10000000,0.25,7718358400
caida18,QMax,10000000,0.25,7717732800
caida18,QMax,10000000,0.25,7697993280
caida18,QMax,10000000,0.25,7803771200
caida18,QMax,10000000,0.25,7730222720
caida18,QMax,10000000,0.25,7714214720
caida18,QMax,10000000,0.25,7800687360
caida18,QMax,10000000,0.25,7703932800
caida18,QMax,10000000,0.25,7806325120
caida18,QMax,1000000,0.25,8191915520
caida18,QMax,1000000,0.25,8192467520
caida18,QMax,1000000,0.25,8183672320
caida18,QMax,1000000,0.25,8191481280
caida18,QMax,1000000,0.25,8186454400
caida18,QMax,1000000,0.25,8184216960
caida18,QMax,1000000,0.25,8190377280
caida18,QMax,1000000,0.25,8192842880
caida18,QMax,1000000,0.25,8184400960
caida18,QMax,1000000,0.25,8194211840
caida18,QMax,10000000,0.5,7922333440
caida18,QMax,10000000,0.5,7898553280
caida18,QMax,10000000,0.5,7893114240
caida18,QMax,10000000,0.5,7906310720
caida18,QMax,10000000,0.5,7872653440
caida18,QMax,10000000,0.5,7848291840
caida18,QMax,10000000,0.5,7900297600
caida18,QMax,10000000,0.5,7964035200
caida18,QMax,10000000,0.5,7883325440
caida18,QMax,10000000,0.5,7918609280
caida18,QMax,1000000,0.5,8206679680
caida18,QMax,1000000,0.5,8197604800
caida18,QMax,1000000,0.5,8203875520
caida18,QMax,1000000,0.5,8196728960
caida18,QMax,1000000,0.5,8207908800
caida18,QMax,1000000,0.5,8197258880
caida18,QMax,1000000,0.5,8206186560
caida18,QMax,1000000,0.5,8187065280
caida18,QMax,1000000,0.5,8197376640
caida18,QMax,1000000,0.5,8205965760
caida18,Skiplist,10000000,,1935930240
caida18,Skiplist,10000000,,1972752320
caida18,Skiplist,10000000,,1969940800
caida18,Skiplist,10000000,,2009103360
caida18,Skiplist,10000000,,1913114240
caida18,Skiplist,10000000,,1944313280
caida18,Skiplist,10000000,,1930005440
caida18,Skiplist,10000000,,1973193920
caida18,Skiplist,10000000,,2005408640
caida18,Skiplist,10000000,,1985551360
caida18,Skiplist,1000000,,8245452160
caida18,Skiplist,1000000,,8241440960
caida18,Skiplist,1000000,,8240682880
caida18,Skiplist,1000000,,8243810880
caida18,Skiplist,1000000,,8242441920
caida18,Skiplist,1000000,,8244679360
caida18,Skiplist,1000000,,8249154240
caida18,Skiplist,1000000,,8242265280
caida18,Skiplist,1000000,,8246673920
caida18,Skiplist,1000000,,8244429120
