dataset,type,size,gamma,throughput
caida16,Heap,10000000,,4874115664
caida16,Heap,10000000,,4864159464
caida16,Heap,10000000,,4842517360
caida16,Heap,10000000,,4822206712
caida16,Heap,10000000,,4889011328
caida16,Heap,10000000,,4851807832
caida16,Heap,10000000,,4870822688
caida16,Heap,10000000,,4917435536
caida16,Heap,10000000,,4839491864
caida16,Heap,10000000,,4863981144
caida16,Heap,1000000,,7496941328
caida16,Heap,1000000,,7496340984
caida16,Heap,1000000,,7495431552
caida16,Heap,1000000,,7497886424
caida16,Heap,1000000,,7494094152
caida16,Heap,1000000,,7497238528
caida16,Heap,1000000,,7492976680
caida16,Heap,1000000,,7500287800
caida16,Heap,1000000,,7494302192
caida16,Heap,1000000,,7496620352
caida16,OVS,10000000,,7494254640
caida16,OVS,10000000,,7492376336
caida16,OVS,10000000,,7496507416
caida16,OVS,10000000,,7498231176
caida16,OVS,10000000,,7496424200
caida16,OVS,10000000,,7492596264
caida16,OVS,10000000,,7495086800
caida16,OVS,10000000,,7494534008
caida16,OVS,10000000,,7494545896
caida16,OVS,10000000,,7493672128
caida16,OVS,1000000,,7494254640
caida16,OVS,1000000,,7492376336
caida16,OVS,1000000,,7496507416
caida16,OVS,1000000,,7498231176
caida16,OVS,1000000,,7496424200
caida16,OVS,1000000,,7492596264
caida16,OVS,1000000,,7495086800
caida16,OVS,1000000,,7494534008
caida16,OVS,1000000,,7494545896
caida16,OVS,1000000,,7493672128
caida16,QMax,10000000,0.05,6195431200
caida16,QMax,10000000,0.05,6167767824
caida16,QMax,10000000,0.05,6279919216
caida16,QMax,10000000,0.05,6232646584
caida16,QMax,10000000,0.05,6153359568
caida16,QMax,10000000,0.05,6258580256
caida16,QMax,10000000,0.05,6176767040
caida16,QMax,10000000,0.05,6155463744
caida16,QMax,10000000,0.05,6235196560
caida16,QMax,10000000,0.05,6203532872
caida16,QMax,1000000,0.05,7377686856
caida16,QMax,1000000,0.05,7376777424
caida16,QMax,1000000,0.05,7387185368
caida16,QMax,1000000,0.05,7379565160
caida16,QMax,1000000,0.05,7376064144
caida16,QMax,1000000,0.05,7388409832
caida16,QMax,1000000,0.05,7381829824
caida16,QMax,1000000,0.05,7385782584
caida16,QMax,1000000,0.05,7381401856
caida16,QMax,1000000,0.05,7380230888
caida16,QMax,10000000,0.1,6716494128
caida16,QMax,10000000,0.1,6704380256
caida16,QMax,10000000,0.1,6670648056
caida16,QMax,10000000,0.1,6697877520
caida16,QMax,10000000,0.1,6699250584
caida16,QMax,10000000,0.1,6700463160
caida16,QMax,10000000,0.1,6699446736
caida16,QMax,10000000,0.1,6594749120
caida16,QMax,10000000,0.1,6716476296
caida16,QMax,10000000,0.1,6685757704
caida16,QMax,1000000,0.1,7412132336
caida16,QMax,1000000,0.1,7402722984
caida16,QMax,1000000,0.1,7422046928
caida16,QMax,1000000,0.1,7415151888
caida16,QMax,1000000,0.1,7410985144
caida16,QMax,1000000,0.1,7414717976
caida16,QMax,1000000,0.1,7428508056
caida16,QMax,1000000,0.1,7414420776
caida16,QMax,1000000,0.1,7420774912
caida16,QMax,1000000,0.1,7409350544
caida16,QMax,10000000,0.25,6989638760
caida16,QMax,10000000,0.25,6979040608
caida16,QMax,10000000,0.25,6995101296
caida16,QMax,10000000,0.25,7015762640
caida16,QMax,10000000,0.25,7015477328
caida16,QMax,10000000,0.25,7076724304
caida16,QMax,10000000,0.25,6985091600
caida16,QMax,10000000,0.25,7028227208
caida16,QMax,10000000,0.25,7051004616
caida16,QMax,10000000,0.25,6980395840
caida16,QMax,1000000,0.25,7443088688
caida16,QMax,1000000,0.25,7442375408
caida16,QMax,1000000,0.25,7447243544
caida16,QMax,1000000,0.25,7442096040
caida16,QMax,1000000,0.25,7453734392
caida16,QMax,1000000,0.25,7446869072
caida16,QMax,1000000,0.25,7445032376
