dataset,type,size,gamma,throughput
caida16,Heap,10000000,,3666100472
caida16,Heap,10000000,,3633089744
caida16,Heap,10000000,,3631444672
caida16,Heap,10000000,,3622172448
caida16,Heap,10000000,,3634907376
caida16,Heap,10000000,,3621355664
caida16,Heap,10000000,,3630190736
caida16,Heap,10000000,,3628683712
caida16,Heap,10000000,,3631214592
caida16,Heap,10000000,,3640872200
caida16,Heap,1000000,,34533362928
caida16,Heap,1000000,,34661678544
caida16,Heap,1000000,,34466156560
caida16,Heap,1000000,,34470982488
caida16,Heap,1000000,,34536762360
caida16,Heap,1000000,,34438966856
caida16,Heap,1000000,,34469745808
caida16,Heap,1000000,,34435107264
caida16,Heap,1000000,,34442136208
caida16,Heap,1000000,,34440197784
caida16,OVS,1000000,,38117508904
caida16,OVS,1000000,,38130542936
caida16,OVS,1000000,,38099338336
caida16,OVS,1000000,,38125130304
caida16,OVS,1000000,,38114736440
caida16,OVS,1000000,,38144589320
caida16,OVS,1000000,,38108984440
caida16,OVS,1000000,,38134114928
caida16,OVS,1000000,,38121443272
caida16,OVS,1000000,,38113614800
caida16,OVS,10000000,,38117508904
caida16,OVS,10000000,,38130542936
caida16,OVS,10000000,,38099338336
caida16,OVS,10000000,,38125130304
caida16,OVS,10000000,,38114736440
caida16,OVS,10000000,,38144589320
caida16,OVS,10000000,,38108984440
caida16,OVS,10000000,,38134114928
caida16,OVS,10000000,,38121443272
caida16,OVS,10000000,,38113614800
caida16,QMax,10000000,0.05,36375216600
caida16,QMax,10000000,0.05,37687702208
caida16,QMax,10000000,0.05,37568727840
caida16,QMax,10000000,0.05,36592113016
caida16,QMax,10000000,0.05,37633811720
caida16,QMax,10000000,0.05,36764287632
caida16,QMax,10000000,0.05,37732038624
caida16,QMax,10000000,0.05,35976551232
caida16,QMax,10000000,0.05,37487584376
caida16,QMax,10000000,0.05,37606898112
caida16,QMax,1000000,0.05,38075197192
caida16,QMax,1000000,0.05,38086327312
caida16,QMax,1000000,0.05,38081409352
caida16,QMax,1000000,0.05,38058642936
caida16,QMax,1000000,0.05,38086505624
caida16,QMax,1000000,0.05,38011953952
caida16,QMax,1000000,0.05,38096076952
caida16,QMax,1000000,0.05,38074282624
caida16,QMax,1000000,0.05,37987830064
caida16,QMax,1000000,0.05,38034145168
caida16,QMax,10000000,0.1,37671544840
caida16,QMax,10000000,0.1,37561739160
caida16,QMax,10000000,0.1,37425290216
caida16,QMax,10000000,0.1,37648577104
caida16,QMax,10000000,0.1,37597286520
caida16,QMax,10000000,0.1,37676244224
caida16,QMax,10000000,0.1,37669583408
caida16,QMax,10000000,0.1,37583568000
caida16,QMax,10000000,0.1,37485467640
caida16,QMax,10000000,0.1,37525852432
caida16,QMax,1000000,0.1,38100770584
caida16,QMax,1000000,0.1,38064038312
caida16,QMax,1000000,0.1,38010400912
caida16,QMax,1000000,0.1,37980220168
caida16,QMax,1000000,0.1,37916614552
caida16,QMax,1000000,0.1,38031056344
caida16,QMax,1000000,0.1,38054886880
caida16,QMax,1000000,0.1,38110606504
