dataset,type,size,gamma,throughput
caida18,Heap,10000000,,6027987200
caida18,Heap,10000000,,6062262720
caida18,Heap,10000000,,6110463360
caida18,Heap,10000000,,6098407680
caida18,Heap,10000000,,6053408640
caida18,Heap,10000000,,6088368640
caida18,Heap,10000000,,6039571840
caida18,Heap,10000000,,6092909760
caida18,Heap,10000000,,6107232320
caida18,Heap,10000000,,6054968960
caida18,Heap,1000000,,8244789760
caida18,Heap,1000000,,8249316160
caida18,Heap,1000000,,8244686720
caida18,Heap,1000000,,8246247040
caida18,Heap,1000000,,8246298560
caida18,Heap,1000000,,8245547840
caida18,Heap,1000000,,8248771520
caida18,Heap,1000000,,8246305920
caida18,Heap,1000000,,8244009600
caida18,Heap,1000000,,8252186560
caida18,OVS,1000000,,8245010560
caida18,OVS,1000000,,8245459520
caida18,OVS,1000000,,8252959360
caida18,OVS,1000000,,8246099840
caida18,OVS,1000000,,8251767040
caida18,OVS,1000000,,8248771520
caida18,OVS,1000000,,8246202880
caida18,OVS,1000000,,8245834880
caida18,OVS,1000000,,8247262720
caida18,OVS,1000000,,8243619520
caida18,OVS,10000000,,8245010560
caida18,OVS,10000000,,8245459520
caida18,OVS,10000000,,8252959360
caida18,OVS,10000000,,8246099840
caida18,OVS,10000000,,8251767040
caida18,OVS,10000000,,8248771520
caida18,OVS,10000000,,8246202880
caida18,OVS,10000000,,8245834880
caida18,OVS,10000000,,8247262720
caida18,OVS,10000000,,8243619520
caida18,QMax,10000000,0.05,8169261440
caida18,QMax,10000000,0.05,8194947840
caida18,QMax,10000000,0.05,8216277120
caida18,QMax,10000000,0.05,8213612800
caida18,QMax,10000000,0.05,8208688960
caida18,QMax,10000000,0.05,8165169280
caida18,QMax,10000000,0.05,8040557120
caida18,QMax,10000000,0.05,8187573120
caida18,QMax,10000000,0.05,8112574720
caida18,QMax,10000000,0.05,8134904960
caida18,QMax,1000000,0.05,8247616000
caida18,QMax,1000000,0.05,8243126400
caida18,QMax,1000000,0.05,8247321600
caida18,QMax,1000000,0.05,8252871040
caida18,QMax,1000000,0.05,8244591040
caida18,QMax,1000000,0.05,8245901120
caida18,QMax,1000000,0.05,8245253440
caida18,QMax,1000000,0.05,8248631680
caida18,QMax,1000000,0.05,8248609600
caida18,QMax,1000000,0.05,8247741120
caida18,QMax,10000000,0.1,7780072000
caida18,QMax,10000000,0.1,8169099520
caida18,QMax,10000000,0.1,8179904000
caida18,QMax,10000000,0.1,8202315200
caida18,QMax,10000000,0.1,8218948800
caida18,QMax,10000000,0.1,8216843840
caida18,QMax,10000000,0.1,8202315200
caida18,QMax,10000000,0.1,8156042880
caida18,QMax,10000000,0.1,8082560640
caida18,QMax,10000000,0.1,8167568640
caida18,QMax,1000000,0.1,8246048320
caida18,QMax,1000000,0.1,8247645440
caida18,QMax,1000000,0.1,8247358400
caida18,QMax,1000000,0.1,8245466880
caida18,QMax,1000000,0.1,8247255360
caida18,QMax,1000000,0.1,8244856000
caida18,QMax,1000000,0.1,8245547840
caida18,QMax,1000000,0.1,8249249920
caida18,QMax,1000000,0.1,8246070400
caida18,QMax,1000000,0.1,8247925120
caida18,QMax,10000000,0.25,8177453120
caida18,QMax,10000000,0.25,7949182720
caida18,QMax,10000000,0.25,8045856320
caida18,QMax,10000000,0.25,8185858240
caida18,QMax,10000000,0.25,8187551040
caida18,QMax,10000000,0.25,8052149120
caida18,QMax,10000000,0.25,8157573760
caida18,QMax,10000000,0.25,8065345600
caida18,QMax,10000000,0.25,8203316160
caida18,QMax,10000000,0.25,8116401920
caida18,QMax,1000000,0.25,8245945280
caida18,QMax,1000000,0.25,8246813760
caida18,QMax,1000000,0.25,8249330880
caida18,QMax,1000000,0.25,8248594880
caida18,QMax,1000000,0.25,8243722560
caida18,QMax,1000000,0.25,8249036480
caida18,QMax,1000000,0.25,8247159680
caida18,QMax,1000000,0.25,8247461440
caida18,QMax,1000000,0.25,8248079680
caida18,QMax,1000000,0.25,8247137600
caida18,QMax,10000000,0.5,8097965120
caida18,QMax,10000000,0.5,8137768000
caida18,QMax,10000000,0.5,8137664960
caida18,QMax,10000000,0.5,8170520000
caida18,QMax,10000000,0.5,8126308480
caida18,QMax,10000000,0.5,8156020800
caida18,QMax,10000000,0.5,8078556800
caida18,QMax,10000000,0.5,7809872640
caida18,QMax,10000000,0.5,7946268160
caida18,QMax,10000000,0.5,8191032320
caida18,QMax,1000000,0.5,8246696000
caida18,QMax,1000000,0.5,8245989440
caida18,QMax,1000000,0.5,8245680320
caida18,QMax,1000000,0.5,8250184640
caida18,QMax,1000000,0.5,8244856000
caida18,QMax,1000000,0.5,8249389760
caida18,QMax,1000000,0.5,8244966400
caida18,QMax,1000000,0.5,8246305920
caida18,QMax,1000000,0.5,8248904000
caida18,QMax,1000000,0.5,8246048320
caida18,Skiplist,10000000,,1792079040
caida18,Skiplist,10000000,,1707409600
caida18,Skiplist,10000000,,1866083840
caida18,Skiplist,10000000,,1793286080
caida18,Skiplist,10000000,,1826928640
caida18,Skiplist,10000000,,1748375360
caida18,Skiplist,10000000,,1759871680
caida18,Skiplist,10000000,,1731624000
caida18,Skiplist,10000000,,1823933120
caida18,Skiplist,10000000,,1808918720
caida18,Skiplist,1000000,,8244392320
caida18,Skiplist,1000000,,8244885440
caida18,Skiplist,1000000,,8245260800
caida18,Skiplist,1000000,,8246040960
caida18,Skiplist,1000000,,8246077760
caida18,Skiplist,1000000,,8246364800
caida18,Skiplist,1000000,,8244517440
caida18,Skiplist,1000000,,8245363840
caida18,Skiplist,1000000,,8245076800
caida18,Skiplist,1000000,,8245753920
