dataset,type,size,gamma,throughput
caida16,Heap,10000000,,409471968
caida16,Heap,10000000,,408053040
caida16,Heap,10000000,,404813896
caida16,Heap,10000000,,410801080
caida16,Heap,10000000,,409439832
caida16,Heap,10000000,,402707752
caida16,Heap,10000000,,410975768
caida16,Heap,10000000,,409693624
caida16,Heap,10000000,,408321664
caida16,Heap,10000000,,411386120
caida16,Heap,1000000,,5292255360
caida16,Heap,1000000,,5295189624
caida16,Heap,1000000,,5299101152
caida16,Heap,1000000,,5289805608
caida16,Heap,1000000,,5296465176
caida16,Heap,1000000,,5288623992
caida16,Heap,1000000,,5295440944
caida16,Heap,1000000,,5290076704
caida16,Heap,1000000,,5290919656
caida16,Heap,1000000,,5281804568
caida16,OVS,1000000,,9422275200
caida16,OVS,1000000,,9449873432
caida16,OVS,1000000,,9205625824
caida16,OVS,1000000,,10015882328
caida16,OVS,1000000,,9212888560
caida16,OVS,1000000,,9226924576
caida16,OVS,1000000,,9370432416
caida16,OVS,1000000,,9439036184
caida16,OVS,1000000,,9227165184
caida16,OVS,1000000,,10027322744
caida16,OVS,10000000,,9422275200
caida16,OVS,10000000,,9449873432
caida16,OVS,10000000,,9205625824
caida16,OVS,10000000,,10015882328
caida16,OVS,10000000,,9212888560
caida16,OVS,10000000,,9226924576
caida16,OVS,10000000,,9370432416
caida16,OVS,10000000,,9439036184
caida16,OVS,10000000,,9227165184
caida16,OVS,10000000,,10027322744
caida16,QMax,10000000,0.05,9466569320
caida16,QMax,10000000,0.05,9172205208
caida16,QMax,10000000,0.05,9451694472
caida16,QMax,10000000,0.05,9488407792
caida16,QMax,10000000,0.05,9609595120
caida16,QMax,10000000,0.05,9172379896
caida16,QMax,10000000,0.05,9474124576
caida16,QMax,10000000,0.05,9620156328
caida16,QMax,10000000,0.05,9594419512
caida16,QMax,10000000,0.05,9574110384
caida16,QMax,1000000,0.05,9851040304
caida16,QMax,1000000,0.05,9883060120
caida16,QMax,1000000,0.05,9970423072
caida16,QMax,1000000,0.05,9760031976
caida16,QMax,1000000,0.05,9841417632
caida16,QMax,1000000,0.05,9702384112
caida16,QMax,1000000,0.05,9861361728
caida16,QMax,1000000,0.05,9759806200
caida16,QMax,1000000,0.05,9829868448
caida16,QMax,1000000,0.05,9838325160
caida16,QMax,10000000,0.1,9610633360
caida16,QMax,10000000,0.1,9214215200
caida16,QMax,10000000,0.1,9461209200
caida16,QMax,10000000,0.1,8839204560
caida16,QMax,10000000,0.1,9663169952
caida16,QMax,10000000,0.1,9439504216
caida16,QMax,10000000,0.1,9076439928
caida16,QMax,10000000,0.1,9139495704
caida16,QMax,10000000,0.1,9542785200
caida16,QMax,10000000,0.1,9545513464
caida16,QMax,1000000,0.1,9844282680
caida16,QMax,1000000,0.1,9861679792
caida16,QMax,1000000,0.1,9784976104
caida16,QMax,1000000,0.1,9828754400
caida16,QMax,1000000,0.1,9803877840
caida16,QMax,1000000,0.1,9732816080
caida16,QMax,1000000,0.1,9918464928
caida16,QMax,1000000,0.1,9747078696
caida16,QMax,1000000,0.1,9825083480
caida16,QMax,1000000,0.1,9807116160
caida16,QMax,10000000,0.25,9326378904
caida16,QMax,10000000,0.25,9435109824
caida16,QMax,10000000,0.25,9513395592
caida16,QMax,10000000,0.25,9513879280
caida16,QMax,10000000,0.25,8997759464
caida16,QMax,10000000,0.25,9531053088
caida16,QMax,10000000,0.25,9398209456
caida16,QMax,10000000,0.25,8995660736
caida16,QMax,10000000,0.25,9382645744
caida16,QMax,10000000,0.25,9654762680
caida16,QMax,1000000,0.25,9839100544
caida16,QMax,1000000,0.25,9805328080
caida16,QMax,1000000,0.25,9722674288
caida16,QMax,1000000,0.25,9701326096
caida16,QMax,1000000,0.25,9808373584
caida16,QMax,1000000,0.25,9752981008
caida16,QMax,1000000,0.25,9794723200
caida16,QMax,1000000,0.25,9812979744
caida16,QMax,1000000,0.25,9760579936
caida16,QMax,1000000,0.25,9721598144
caida16,QMax,10000000,0.5,9334401368
caida16,QMax,10000000,0.5,9401282976
caida16,QMax,10000000,0.5,9483083104
caida16,QMax,10000000,0.5,8958202520
caida16,QMax,10000000,0.5,9495354936
caida16,QMax,10000000,0.5,9566434000
caida16,QMax,10000000,0.5,9738048480
caida16,QMax,10000000,0.5,9315604280
caida16,QMax,10000000,0.5,9255309728
caida16,QMax,10000000,0.5,8777375720
caida16,QMax,1000000,0.5,9706429128
caida16,QMax,1000000,0.5,9829738256
caida16,QMax,1000000,0.5,9674340096
caida16,QMax,1000000,0.5,9806325944
caida16,QMax,1000000,0.5,9719444208
caida16,QMax,1000000,0.5,9772492504
caida16,QMax,1000000,0.5,9798927248
caida16,QMax,1000000,0.5,9848134880
caida16,QMax,1000000,0.5,9763205200
caida16,QMax,1000000,0.5,9680935392
caida16,Skiplist,10000000,,302600816
caida16,Skiplist,10000000,,308168584
caida16,Skiplist,10000000,,307876888
caida16,Skiplist,10000000,,314246408
caida16,Skiplist,10000000,,303379496
caida16,Skiplist,10000000,,308943968
caida16,Skiplist,10000000,,307947752
caida16,Skiplist,10000000,,310478256
caida16,Skiplist,10000000,,312364392
caida16,Skiplist,10000000,,303017760
caida16,Skiplist,1000000,,1012670456
caida16,Skiplist,1000000,,967976696
caida16,Skiplist,1000000,,995897936
caida16,Skiplist,1000000,,1017647416
caida16,Skiplist,1000000,,934084752
caida16,Skiplist,1000000,,965718936
caida16,Skiplist,1000000,,957403128
caida16,Skiplist,1000000,,969528288
caida16,Skiplist,1000000,,942094856
caida16,Skiplist,1000000,,1156911656
