dataset,type,size,gamma,throughput
caida18,Heap,10000000,,374513040
caida18,Heap,10000000,,378010080
caida18,Heap,10000000,,376741440
caida18,Heap,10000000,,379016640
caida18,Heap,10000000,,376251120
caida18,Heap,10000000,,377878320
caida18,Heap,10000000,,383250960
caida18,Heap,10000000,,378059760
caida18,Heap,10000000,,378654480
caida18,Heap,10000000,,377262720
caida18,Heap,1000000,,4634935920
caida18,Heap,1000000,,4635244800
caida18,Heap,1000000,,4640685840
caida18,Heap,1000000,,4605716160
caida18,Heap,1000000,,4609573920
caida18,Heap,1000000,,4624594560
caida18,Heap,1000000,,4619488320
caida18,Heap,1000000,,4621646160
caida18,Heap,1000000,,4622506560
caida18,Heap,1000000,,4633022160
caida18,OVS,1000000,,9826401600
caida18,OVS,1000000,,9857999520
caida18,OVS,1000000,,9868058640
caida18,OVS,1000000,,9927490320
caida18,OVS,1000000,,9948297600
caida18,OVS,1000000,,9944532720
caida18,OVS,1000000,,9866337840
caida18,OVS,1000000,,9874224000
caida18,OVS,1000000,,9846482400
caida18,OVS,1000000,,9904648320
caida18,OVS,10000000,,9826401600
caida18,OVS,10000000,,9857999520
caida18,OVS,10000000,,9868058640
caida18,OVS,10000000,,9927490320
caida18,OVS,10000000,,9948297600
caida18,OVS,10000000,,9944532720
caida18,OVS,10000000,,9866337840
caida18,OVS,10000000,,9874224000
caida18,OVS,10000000,,9846482400
caida18,OVS,10000000,,9904648320
caida18,QMax,10000000,0.05,9537012720
caida18,QMax,10000000,0.05,9546854400
caida18,QMax,10000000,0.05,9517625280
caida18,QMax,10000000,0.05,9689577840
caida18,QMax,10000000,0.05,9435900240
caida18,QMax,10000000,0.05,9771606000
caida18,QMax,10000000,0.05,9812804400
caida18,QMax,10000000,0.05,9783924480
caida18,QMax,10000000,0.05,9449363520
caida18,QMax,10000000,0.05,9617858640
caida18,QMax,1000000,0.05,9816073920
caida18,QMax,1000000,0.05,9830777760
caida18,QMax,1000000,0.05,9847418400
caida18,QMax,1000000,0.05,9899538480
caida18,QMax,1000000,0.05,9944233920
caida18,QMax,1000000,0.05,9886412880
caida18,QMax,1000000,0.05,9877108320
caida18,QMax,1000000,0.05,9843822000
caida18,QMax,1000000,0.05,9811344240
caida18,QMax,1000000,0.05,9947664000
caida18,QMax,10000000,0.1,9223420320
caida18,QMax,10000000,0.1,9307956960
caida18,QMax,10000000,0.1,9406746720
caida18,QMax,10000000,0.1,9584115840
caida18,QMax,10000000,0.1,9271347840
caida18,QMax,10000000,0.1,9740545200
caida18,QMax,10000000,0.1,9773295840
caida18,QMax,10000000,0.1,9706916160
caida18,QMax,10000000,0.1,9673062480
caida18,QMax,10000000,0.1,9488175120
caida18,QMax,1000000,0.1,9777814560
caida18,QMax,1000000,0.1,9832957920
caida18,QMax,1000000,0.1,9907482240
caida18,QMax,1000000,0.1,9905841360
caida18,QMax,1000000,0.1,9924055200
caida18,QMax,1000000,0.1,9747540720
caida18,QMax,1000000,0.1,9964701360
caida18,QMax,1000000,0.1,9774098640
caida18,QMax,1000000,0.1,9902129760
caida18,QMax,1000000,0.1,9890203680
caida18,QMax,10000000,0.25,9261511920
caida18,QMax,10000000,0.25,9397890000
caida18,QMax,10000000,0.25,9282206160
caida18,QMax,10000000,0.25,9508101840
caida18,QMax,10000000,0.25,9345661200
caida18,QMax,10000000,0.25,9137483280
caida18,QMax,10000000,0.25,9567887760
caida18,QMax,10000000,0.25,9514467360
caida18,QMax,10000000,0.25,9027406080
caida18,QMax,10000000,0.25,9737434800
caida18,QMax,1000000,0.25,9814026960
caida18,QMax,1000000,0.25,9827960400
caida18,QMax,1000000,0.25,9827835120
caida18,QMax,1000000,0.25,9954730800
caida18,QMax,1000000,0.25,9956361600
caida18,QMax,1000000,0.25,9837254880
caida18,QMax,1000000,0.25,9943433280
caida18,QMax,1000000,0.25,9832368240
caida18,QMax,1000000,0.25,9812826720
caida18,QMax,1000000,0.25,9883497600
caida18,QMax,10000000,0.5,9398961360
caida18,QMax,10000000,0.5,8935791120
caida18,QMax,10000000,0.5,9145665360
caida18,QMax,10000000,0.5,9549331200
caida18,QMax,10000000,0.5,7877436480
caida18,QMax,10000000,0.5,9616054320
caida18,QMax,10000000,0.5,9560881440
caida18,QMax,10000000,0.5,9628925760
caida18,QMax,10000000,0.5,9005653440
caida18,QMax,10000000,0.5,9307126800
caida18,QMax,1000000,0.5,9729092160
caida18,QMax,1000000,0.5,9805094640
caida18,QMax,1000000,0.5,9941952960
caida18,QMax,1000000,0.5,10024151760
caida18,QMax,1000000,0.5,9960397200
caida18,QMax,1000000,0.5,9710911440
caida18,QMax,1000000,0.5,9882385920
caida18,QMax,1000000,0.5,9776451600
caida18,QMax,1000000,0.5,9671404320
caida18,QMax,1000000,0.5,9813073680
caida18,Skiplist,10000000,,259952400
caida18,Skiplist,10000000,,258081840
caida18,Skiplist,10000000,,244967040
caida18,Skiplist,10000000,,267032880
caida18,Skiplist,10000000,,244422000
caida18,Skiplist,10000000,,258444720
caida18,Skiplist,10000000,,258768000
caida18,Skiplist,10000000,,259509600
caida18,Skiplist,10000000,,255518640
caida18,Skiplist,10000000,,253383840
caida18,Skiplist,1000000,,2297823120
caida18,Skiplist,1000000,,2125728000
caida18,Skiplist,1000000,,2338588080
caida18,Skiplist,1000000,,2252411280
caida18,Skiplist,1000000,,2219805360
caida18,Skiplist,1000000,,2379779280
caida18,Skiplist,1000000,,2331049680
caida18,Skiplist,1000000,,2207129040
caida18,Skiplist,1000000,,2317953600
caida18,Skiplist,1000000,,2246041440
