dataset,type,size,gamma,throughput
univ1,Heap,10000000,,2851272248
univ1,Heap,10000000,,2937401808
univ1,Heap,10000000,,2896121888
univ1,Heap,10000000,,2864026616
univ1,Heap,10000000,,2916853104
univ1,Heap,10000000,,2927438800
univ1,Heap,10000000,,2910008904
univ1,Heap,10000000,,2938164064
univ1,Heap,10000000,,2911007352
univ1,Heap,10000000,,2942227640
univ1,Heap,1000000,,32301204584
univ1,Heap,1000000,,31559953568
univ1,Heap,1000000,,31585113384
univ1,Heap,1000000,,31987251736
univ1,Heap,1000000,,32356038704
univ1,Heap,1000000,,32171417080
univ1,Heap,1000000,,32185835528
univ1,Heap,1000000,,31609505576
univ1,Heap,1000000,,31684507272
univ1,Heap,1000000,,32333686352
univ1,OVS,1000000,,38720994400
univ1,OVS,1000000,,38494523848
univ1,OVS,1000000,,38361816152
univ1,OVS,1000000,,38288988496
univ1,OVS,1000000,,38597627024
univ1,OVS,1000000,,38380223024
univ1,OVS,1000000,,38749632680
univ1,OVS,1000000,,38582516104
univ1,OVS,1000000,,38410734736
univ1,OVS,1000000,,38374275280
univ1,OVS,10000000,,38720994400
univ1,OVS,10000000,,38494523848
univ1,OVS,10000000,,38361816152
univ1,OVS,10000000,,38288988496
univ1,OVS,10000000,,38597627024
univ1,OVS,10000000,,38380223024
univ1,OVS,10000000,,38749632680
univ1,OVS,10000000,,38582516104
univ1,OVS,10000000,,38410734736
univ1,OVS,10000000,,38374275280
univ1,QMax,10000000,0.05,33438157720
univ1,QMax,10000000,0.05,33438163088
univ1,QMax,10000000,0.05,33381927920
univ1,QMax,10000000,0.05,33438152352
univ1,QMax,10000000,0.05,33326320808
univ1,QMax,10000000,0.05,33326320808
univ1,QMax,10000000,0.05,33462635800
univ1,QMax,10000000,0.05,33505365080
univ1,QMax,10000000,0.05,33363628408
univ1,QMax,10000000,0.05,33398198328
univ1,QMax,1000000,0.05,37735891248
univ1,QMax,1000000,0.05,37742697872
univ1,QMax,1000000,0.05,37883173064
univ1,QMax,1000000,0.05,38107394424
univ1,QMax,1000000,0.05,38487105272
univ1,QMax,1000000,0.05,38171810424
univ1,QMax,1000000,0.05,37716958312
univ1,QMax,1000000,0.05,37770439696
univ1,QMax,1000000,0.05,37959597280
univ1,QMax,1000000,0.05,38530827632
univ1,QMax,10000000,0.1,35431430320
univ1,QMax,10000000,0.1,35341983336
univ1,QMax,10000000,0.1,34292684272
univ1,QMax,10000000,0.1,34617120824
univ1,QMax,10000000,0.1,34914910624
univ1,QMax,10000000,0.1,34567724488
univ1,QMax,10000000,0.1,35632918200
