dataset,type,size,gamma,throughput
caida18,Heap,10000000,,4954315080
caida18,Heap,10000000,,4982123760
caida18,Heap,10000000,,5043194520
caida18,Heap,10000000,,5070424920
caida18,Heap,10000000,,5020465920
caida18,Heap,10000000,,4923717480
caida18,Heap,10000000,,4984371000
caida18,Heap,10000000,,5013621720
caida18,Heap,10000000,,4996339200
caida18,Heap,10000000,,5019660720
caida18,Heap,1000000,,36113673840
caida18,Heap,1000000,,36109501440
caida18,Heap,1000000,,36171941040
caida18,Heap,1000000,,35994862920
caida18,Heap,1000000,,34595030040
caida18,Heap,1000000,,36099253440
caida18,Heap,1000000,,36303188640
caida18,Heap,1000000,,36077505720
caida18,Heap,1000000,,36169196040
caida18,Heap,1000000,,36154578000
caida18,OVS,1000000,,39541234560
caida18,OVS,1000000,,39517305480
caida18,OVS,1000000,,39509180280
caida18,OVS,1000000,,39522751560
caida18,OVS,1000000,,39531455040
caida18,OVS,1000000,,39567066840
caida18,OVS,1000000,,39602093040
caida18,OVS,1000000,,39613673280
caida18,OVS,1000000,,39603857160
caida18,OVS,1000000,,39558890400
caida18,OVS,10000000,,39541234560
caida18,OVS,10000000,,39517305480
caida18,OVS,10000000,,39509180280
caida18,OVS,10000000,,39522751560
caida18,OVS,10000000,,39531455040
caida18,OVS,10000000,,39567066840
caida18,OVS,10000000,,39602093040
caida18,OVS,10000000,,39613673280
caida18,OVS,10000000,,39603857160
caida18,OVS,10000000,,39558890400
caida18,QMax,10000000,0.05,24111816480
caida18,QMax,10000000,0.05,24827924760
caida18,QMax,10000000,0.05,24206742240
caida18,QMax,10000000,0.05,22964955480
caida18,QMax,10000000,0.05,24359408160
caida18,QMax,10000000,0.05,24534099960
caida18,QMax,10000000,0.05,23382341880
caida18,QMax,10000000,0.05,23958733320
caida18,QMax,10000000,0.05,23964684480
caida18,QMax,10000000,0.05,24087858120
caida18,QMax,1000000,0.05,38127501000
caida18,QMax,1000000,0.05,38081238600
caida18,QMax,1000000,0.05,37976796840
caida18,QMax,1000000,0.05,37949405400
caida18,QMax,1000000,0.05,38017561920
caida18,QMax,1000000,0.05,38010710400
caida18,QMax,1000000,0.05,37914174240
caida18,QMax,1000000,0.05,37982711400
caida18,QMax,1000000,0.05,38125356240
caida18,QMax,1000000,0.05,37960561080
caida18,QMax,10000000,0.1,29783799000
caida18,QMax,10000000,0.1,30312954480
caida18,QMax,10000000,0.1,30187445760
caida18,QMax,10000000,0.1,30135686040
caida18,QMax,10000000,0.1,29126580120
caida18,QMax,10000000,0.1,28987368360
caida18,QMax,10000000,0.1,29962077600
caida18,QMax,10000000,0.1,29854429680
caida18,QMax,10000000,0.1,29391900840
caida18,QMax,10000000,0.1,30430411200
caida18,QMax,1000000,0.1,38629184520
caida18,QMax,1000000,0.1,38675732400
caida18,QMax,1000000,0.1,38634652560
caida18,QMax,1000000,0.1,38720311200
caida18,QMax,1000000,0.1,38779632480
caida18,QMax,1000000,0.1,38701110840
caida18,QMax,1000000,0.1,38713174200
caida18,QMax,1000000,0.1,38627984040
caida18,QMax,1000000,0.1,38511530160
caida18,QMax,1000000,0.1,38683110960
caida18,QMax,10000000,0.25,34597496880
caida18,QMax,10000000,0.25,34689055440
caida18,QMax,10000000,0.25,34389030600
caida18,QMax,10000000,0.25,34196170560
caida18,QMax,10000000,0.25,33917790960
caida18,QMax,10000000,0.25,33632296320
caida18,QMax,10000000,0.25,34202312040
caida18,QMax,10000000,0.25,35106332040
caida18,QMax,10000000,0.25,34881278640
caida18,QMax,10000000,0.25,33634975440
caida18,QMax,1000000,0.25,39080133120
caida18,QMax,1000000,0.25,38881695240
caida18,QMax,1000000,0.25,38957208360
caida18,QMax,1000000,0.25,38835410880
caida18,QMax,1000000,0.25,38946389400
caida18,QMax,1000000,0.25,38886548400
caida18,QMax,1000000,0.25,38955436920
caida18,QMax,1000000,0.25,38905287600
caida18,QMax,1000000,0.25,38957640240
caida18,QMax,1000000,0.25,38953899720
caida18,QMax,10000000,0.5,34777407840
caida18,QMax,10000000,0.5,36064512720
caida18,QMax,10000000,0.5,35561145600
caida18,QMax,10000000,0.5,35494079760
caida18,QMax,10000000,0.5,35857488480
caida18,QMax,10000000,0.5,36017708640
caida18,QMax,10000000,0.5,35490148920
caida18,QMax,10000000,0.5,35810713680
caida18,QMax,10000000,0.5,35794397400
caida18,QMax,10000000,0.5,36407593800
caida18,QMax,1000000,0.5,38929238640
caida18,QMax,1000000,0.5,38952033120
caida18,QMax,1000000,0.5,39004151520
caida18,QMax,1000000,0.5,39005059200
caida18,QMax,1000000,0.5,38914320480
caida18,QMax,1000000,0.5,38918236680
caida18,QMax,1000000,0.5,38944434960
caida18,QMax,1000000,0.5,38899592640
