dataset,type,size,gamma,throughput
random,Heap,10000000,,1752900160
random,Heap,10000000,,1968552256
random,Heap,10000000,,1884773440
random,Heap,10000000,,1696616768
random,Heap,10000000,,1905211264
random,Heap,10000000,,1814714880
random,Heap,10000000,,1883821632
random,Heap,10000000,,1904750848
random,Heap,10000000,,1890860224
random,Heap,10000000,,1887200832
random,Heap,1000000,,7556225600
random,Heap,1000000,,7568206976
random,Heap,1000000,,7535373120
random,Heap,1000000,,7501100288
random,Heap,1000000,,7520580672
random,Heap,1000000,,7518514432
random,Heap,1000000,,7472744576
random,Heap,1000000,,7486910464
random,Heap,1000000,,7532573312
random,Heap,1000000,,7525566400
random,Heap,100000,,9560355904
random,Heap,100000,,9559404800
random,Heap,100000,,9559982784
random,Heap,100000,,9560895168
random,Heap,100000,,9560846592
random,Heap,100000,,9565644352
random,Heap,100000,,9560088384
random,Heap,100000,,9559979968
random,Heap,100000,,9564433472
random,Heap,100000,,9557639872
random,Heap,10000,,9837448192
random,Heap,10000,,9834906752
random,Heap,10000,,9837323584
random,Heap,10000,,9835234816
random,Heap,10000,,9837474944
random,Heap,10000,,9837724864
random,Heap,10000,,9838031808
random,Heap,10000,,9837629120
random,Heap,10000,,9836275328
random,Heap,10000,,9837572800
random,SkipList,10000000,,171726720
random,SkipList,10000000,,175337536
random,SkipList,10000000,,175293888
random,SkipList,10000000,,168717120
random,SkipList,10000000,,169180352
random,SkipList,10000000,,169945600
random,SkipList,10000000,,176929984
random,SkipList,10000000,,180245824
random,SkipList,10000000,,182398656
random,SkipList,10000000,,180468992
random,SkipList,1000000,,4520981696
random,SkipList,1000000,,4667001856
random,SkipList,1000000,,4615610560
random,SkipList,1000000,,4594260352
random,SkipList,1000000,,4567349248
random,SkipList,1000000,,4569379584
random,SkipList,1000000,,4639671168
random,SkipList,1000000,,4619132672
random,SkipList,1000000,,4662295616
random,SkipList,1000000,,4700156032
random,SkipList,100000,,9466222656
random,SkipList,100000,,9495129600
random,SkipList,100000,,9494476992
random,SkipList,100000,,9488592256
random,SkipList,100000,,9479252288
random,SkipList,100000,,9470150976
random,SkipList,100000,,9497747776
random,SkipList,100000,,9495097216
random,SkipList,100000,,9496727680
random,SkipList,100000,,9496113792
random,SkipList,10000,,9839063872
random,SkipList,10000,,9840133248
random,SkipList,10000,,9840866816
random,SkipList,10000,,9840173376
random,SkipList,10000,,9840435968
random,SkipList,10000,,9840549312
random,SkipList,10000,,9840533120
random,SkipList,10000,,9840644352
random,SkipList,10000,,9841002688
random,SkipList,10000,,9840033280
random,OVS,,,9861843904
random,OVS,,,9860730176
random,OVS,,,9860815360
random,OVS,,,9861637632
random,OVS,,,9861446848
random,OVS,,,9861828416
random,OVS,,,9862008640
random,OVS,,,9861732672
random,OVS,,,9861957248
